"intervention","space","time","costs"
"cubecliniczflourfcubefflour","South","9",1250499.57
"cubecliniczflourfcubefflour","South","10",1248948.72
"cubecliniczflourfcubefflour","Cities","1",359056.48
"cubecliniczflourfcubefflour","Cities","2",291166.90
"cubecliniczflourfcubefflour","Cities","3",465082.03
"cubecliniczflourfcubefflour","Cities","4",664501.15
"cubecliniczflourfcubefflour","Cities","5",708013.94
"cubecliniczflourfcubefflour","Cities","6",724395.33
"cubecliniczflourfcubefflour","Cities","7",696977.49
"cubecliniczflourfcubefflour","Cities","8",727615.46
"cubecliniczflourfcubefflour","Cities","9",757654.12
"cubecliniczflourfcubefflour","Cities","10",763455.55
"cubecliniczflourfflour","North","1",466667.96
"cubecliniczflourfflour","North","2",418711.24
"cubecliniczflourfflour","North","3",554548.67
"cubecliniczflourfflour","North","4",888776.39
"cubecliniczflourfflour","North","5",923161.20
"cubecliniczflourfflour","North","6",954962.68
"cubecliniczflourfflour","North","7",932580.21
"cubecliniczflourfflour","North","8",977994.00
"cubecliniczflourfflour","North","9",999063.75
"cubecliniczflourfflour","North","10",996614.47
"cubecliniczflourfflour","South","1",655169.02
"cubecliniczflourfflour","South","2",582541.03
"cubecliniczflourfflour","South","3",771106.59
"cubecliniczflourfflour","South","4",1130156.58
"cubecliniczflourfflour","South","5",1175860.40
"cubecliniczflourfflour","South","6",1206636.56
"cubecliniczflourfflour","South","7",1173400.04
"cubecliniczflourfflour","South","8",1221808.06
"cubecliniczflourfflour","South","9",1250499.57
"cubecliniczflourfflour","South","10",1248948.72
"cubecliniczflourfflour","Cities","1",359056.48
"cubecliniczflourfflour","Cities","2",291166.90
"cubecliniczflourfflour","Cities","3",465082.03
"cubecliniczflourfflour","Cities","4",664501.15
"cubecliniczflourfflour","Cities","5",708013.94
"cubecliniczflourfflour","Cities","6",724395.33
"cubecliniczflourfflour","Cities","7",696977.49
"cubecliniczflourfflour","Cities","8",727615.46
"cubecliniczflourfflour","Cities","9",757654.12
"cubecliniczflourfflour","Cities","10",763455.55
"cubecliniczflourzcube","North","1",458822.74
"cubecliniczflourzcube","North","2",410671.28
"cubecliniczflourzcube","North","3",529587.49
"cubecliniczflourzcube","North","4",1031498.02
"cubecliniczflourzcube","North","5",1069205.26
"cubecliniczflourzcube","North","6",1104361.30
"cubecliniczflourzcube","North","7",1085365.59
"cubecliniczflourzcube","North","8",1134197.73
"cubecliniczflourzcube","North","9",1158715.84
"cubecliniczflourzcube","North","10",1159743.31
"cubecliniczflourzcube","South","1",642762.90
"cubecliniczflourzcube","South","2",569826.95
"cubecliniczflourzcube","South","3",731633.93
"cubecliniczflourzcube","South","4",1274874.09
"cubecliniczflourzcube","South","5",1323938.60
"cubecliniczflourzcube","South","6",1358107.33
"cubecliniczflourzcube","South","7",1328295.23
"cubecliniczflourzcube","South","8",1380158.84
"cubecliniczflourzcube","South","9",1412335.34
"cubecliniczflourzcube","South","10",1414297.17
"cubecliniczflourzcube","Cities","1",346086.41
"cubecliniczflourzcube","Cities","2",277874.88
"cubecliniczflourzcube","Cities","3",423815.08
"cubecliniczflourzcube","Cities","4",729389.69
"cubecliniczflourzcube","Cities","5",774395.73
"cubecliniczflourzcube","Cities","6",792283.46
"cubecliniczflourzcube","Cities","7",766384.93
"cubecliniczflourzcube","Cities","8",798554.71
"cubecliniczflourzcube","Cities","9",830136.70
"cubecliniczflourzcube","Cities","10",837492.02
"cubecliniczflourzcubefcube","North","1",528401.55
"cubecliniczflourzcubefcube","North","2",464629.72
"cubecliniczflourzcubefcube","North","3",628930.84
"cubecliniczflourzcubefcube","North","4",1157695.65
