"intervention","space","time","costs"
"oilflour","South","2",433736.35
"oilflour","South","3",464871.04
"oilflour","South","4",450138.45
"oilflour","South","5",489918.63
"oilflour","South","6",490063.57
"oilflour","South","7",475743.02
"oilflour","South","8",484571.97
"oilflour","South","9",516556.79
"oilflour","South","10",534097.74
"oilflour","Cities","1",483039.78
"oilflour","Cities","2",491993.33
"oilflour","Cities","3",525129.98
"oilflour","Cities","4",510323.46
"oilflour","Cities","5",552516.89
"oilflour","Cities","6",553282.92
"oilflour","Cities","7",538935.86
"oilflour","Cities","8",548800.97
"oilflour","Cities","9",582885.19
"oilflour","Cities","10",601880.01
"oilclinicflour","North","1",586877.78
"oilclinicflour","North","2",595814.80
"oilclinicflour","North","3",619408.77
"oilclinicflour","North","4",614002.42
"oilclinicflour","North","5",643045.63
"oilclinicflour","North","6",646983.93
"oilclinicflour","North","7",641723.37
"oilclinicflour","North","8",651040.58
"oilclinicflour","North","9",674924.76
"oilclinicflour","North","10",689591.46
"oilclinicflour","South","1",807238.69
"oilclinicflour","South","2",815976.01
"oilclinicflour","South","3",847777.41
"oilclinicflour","South","4",833652.16
"oilclinicflour","South","5",873975.47
"oilclinicflour","South","6",874607.49
"oilclinicflour","South","7",860734.14
"oilclinicflour","South","8",869972.61
"oilclinicflour","South","9",902322.53
"oilclinicflour","South","10",920185.19
"oilclinicflour","Cities","1",591727.07
"oilclinicflour","Cities","2",601458.77
"oilclinicflour","Cities","3",635373.31
"oilclinicflour","Cities","4",621347.89
"oilclinicflour","Cities","5",664328.61
"oilclinicflour","Cities","6",665896.11
"oilclinicflour","Cities","7",652371.19
"oilclinicflour","Cities","8",663083.19
"oilclinicflour","Cities","9",698044.02
"oilclinicflour","Cities","10",717951.20
"oilcubeflour","North","1",384010.51
"oilcubeflour","North","2",374144.51
"oilcubeflour","North","3",439916.74
"oilcubeflour","North","4",474214.20
"oilcubeflour","North","5",501748.38
"oilcubeflour","North","6",526742.42
"oilcubeflour","North","7",497610.35
"oilcubeflour","North","8",536347.79
"oilcubeflour","North","9",550836.52
